PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2014 Man;2014 Vrouw;2015 Man;2015 Vrouw;2016 Man;2016 Vrouw;2017 Man;2017 Vrouw;2018 Man;2018 Vrouw 
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;bachelor;0;0;0;0;4;0;12;1;17;1
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;propedeuse bachelor;0;0;0;0;0;0;1;1;4;3
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;bachelor;182;58;162;59;150;43;157;52;123;49
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;propedeuse bachelor;93;24;75;21;80;26;61;23;72;29
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39200;B Trend Research & Concept Creation in Lifestyle;voltijd onderwijs;bachelor;26;354;33;424;45;464;47;472;47;449
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39200;B Trend Research & Concept Creation in Lifestyle;voltijd onderwijs;propedeuse bachelor;35;288;37;278;35;259;34;291;30;255
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39203;B Vastgoed en Makelaardij;voltijd onderwijs;bachelor;191;83;174;72;160;62;154;71;150;72
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39203;B Vastgoed en Makelaardij;voltijd onderwijs;propedeuse bachelor;92;47;115;46;121;65;122;58;143;73
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39205;B HBO - Rechten;deeltijd onderwijs;bachelor;33;62;34;58;31;58;29;55;29;56
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39205;B HBO - Rechten;deeltijd onderwijs;propedeuse bachelor;17;35;16;31;11;35;16;26;17;40
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;bachelor;151;365;156;380;150;356;139;286;142;294
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;propedeuse bachelor;160;274;110;253;136;202;118;252;86;246
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);30012;B Pedagogisch Management Kinderopvang;deeltijd onderwijs;bachelor;1;22;1;14;1;15;0;8;0;4
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);30012;B Pedagogisch Management Kinderopvang;deeltijd onderwijs;propedeuse bachelor;1;10;0;5;0;0;0;1;0;3
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);30012;B Pedagogisch Management Kinderopvang;voltijd onderwijs;bachelor;1;65;1;61;0;64;0;57;0;54
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);30012;B Pedagogisch Management Kinderopvang;voltijd onderwijs;propedeuse bachelor;2;25;0;29;0;25;0;30;0;19
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34040;B Sportkunde;voltijd onderwijs;bachelor;307;179;336;225;333;249;349;272;329;247
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34040;B Sportkunde;voltijd onderwijs;propedeuse bachelor;219;131;188;129;176;140;136;97;156;101
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;bachelor;54;93;46;69;39;49;40;60;42;68
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;propedeuse bachelor;22;31;12;27;18;33;15;38;14;37
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;bachelor;114;497;120;592;128;601;137;586;129;518
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;propedeuse bachelor;120;442;105;358;128;319;89;289;75;257
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34507;B Toegepaste Psychologie;deeltijd onderwijs;bachelor;20;55;22;52;19;57;24;68;27;58
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34507;B Toegepaste Psychologie;deeltijd onderwijs;propedeuse bachelor;20;36;22;40;24;37;12;29;11;31
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34507;B Toegepaste Psychologie;voltijd onderwijs;bachelor;255;447;257;447;264;451;254;460;270;461
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34507;B Toegepaste Psychologie;voltijd onderwijs;propedeuse bachelor;154;213;118;197;162;240;167;281;159;289
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;deeltijd onderwijs;bachelor;13;50;12;46;16;36;15;40;18;46
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;deeltijd onderwijs;propedeuse bachelor;10;28;12;17;11;27;18;33;14;26
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;voltijd onderwijs;bachelor;184;380;191;399;182;398;189;392;180;374
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34609;B Human Resource Management;voltijd onderwijs;propedeuse bachelor;140;210;121;210;129;211;132;200;150;237
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35146;B Godsdienst-pastoraal Werk;deeltijd onderwijs;bachelor;10;17;12;19;8;26;7;14;9;19
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35146;B Godsdienst-pastoraal Werk;deeltijd onderwijs;propedeuse bachelor;7;10;6;10;3;1;6;7;7;11
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35146;B Godsdienst-pastoraal Werk;voltijd onderwijs;bachelor;7;17;15;26;16;26;14;15;14;12
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35146;B Godsdienst-pastoraal Werk;voltijd onderwijs;propedeuse bachelor;22;17;17;14;8;3;13;3;12;6
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;deeltijd onderwijs;bachelor;9;87;9;82;9;71;9;73;12;69
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;deeltijd onderwijs;propedeuse bachelor;2;30;5;24;2;30;7;51;5;69
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;voltijd onderwijs;bachelor;46;961;62;1196;67;1228;75;1240;75;1157
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);35158;B Pedagogiek;voltijd onderwijs;propedeuse bachelor;71;734;63;581;56;561;50;539;43;518
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);30109;B Toegepaste Gerontologie;deeltijd onderwijs;bachelor;3;20;4;15;3;24;3;23;2;19
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);30109;B Toegepaste Gerontologie;deeltijd onderwijs;propedeuse bachelor;2;13;1;19;1;7;1;5;0;9
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);30109;B Toegepaste Gerontologie;voltijd onderwijs;bachelor;2;38;3;47;5;61;6;52;7;36
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);30109;B Toegepaste Gerontologie;voltijd onderwijs;propedeuse bachelor;7;32;10;32;8;13;6;14;10;12
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34538;B Management in de Zorg;deeltijd onderwijs;bachelor;28;107;20;71;16;58;19;50;22;64
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34538;B Management in de Zorg;deeltijd onderwijs;propedeuse bachelor;0;1;2;1;0;1;1;2;1;5
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;bachelor;9;54;8;65;8;64;6;31;6;26
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;propedeuse bachelor;4;28;2;26;4;14;7;12;5;23
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;duaal onderwijs;bachelor;30;132;35;194;34;250;42;310;50;292
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;duaal onderwijs;propedeuse bachelor;2;15;2;20;0;4;0;2;0;1
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;bachelor;91;669;99;715;108;735;96;694;71;685
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;propedeuse bachelor;79;288;67;358;46;383;27;351;100;514
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34561;B Medisch Beeldvormende en Radiotherapeutische Technieken;duaal onderwijs;bachelor;17;46;13;44;9;41;10;37;14;40
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34561;B Medisch Beeldvormende en Radiotherapeutische Technieken;duaal onderwijs;propedeuse bachelor;3;17;5;16;9;14;5;16;9;19
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34561;B Medisch Beeldvormende en Radiotherapeutische Technieken;voltijd onderwijs;bachelor;103;215;107;234;102;246;99;257;94;255
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34561;B Medisch Beeldvormende en Radiotherapeutische Technieken;voltijd onderwijs;propedeuse bachelor;54;114;44;115;44;114;31;116;70;202
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34570;B Opleiding tot Fysiotherapeut;voltijd onderwijs;bachelor;186;221;238;229;254;226;274;218;250;211
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34570;B Opleiding tot Fysiotherapeut;voltijd onderwijs;propedeuse bachelor;148;99;128;87;144;92;112;91;282;240
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34578;B Opleiding voor Logopedie;voltijd onderwijs;bachelor;0;169;0;181;1;175;2;156;2;148
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34578;B Opleiding voor Logopedie;voltijd onderwijs;propedeuse bachelor;2;91;2;59;3;53;1;64;0;42
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34581;B Opleiding Podotherapie;deeltijd onderwijs;bachelor;12;21;0;0;0;0;0;0;0;0
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34581;B Opleiding Podotherapie;voltijd onderwijs;bachelor;42;84;47;101;48;87;49;82;47;80
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;gezondheidszorg;n.v.t. (gezondheidszorg);34581;B Opleiding Podotherapie;voltijd onderwijs;propedeuse bachelor;24;46;21;31;16;36;13;30;8;26
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;bachelor;34;117;29;114;24;113;29;96;30;107
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;propedeuse bachelor;25;80;14;79;20;63;25;89;35;82
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;bachelor;227;824;249;827;241;828;225;767;193;625
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;propedeuse bachelor;184;563;135;374;108;316;109;261;123;256
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;34745;B Docent Theater;voltijd onderwijs;bachelor;16;44;20;41;19;36;18;44;10;49
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;34745;B Docent Theater;voltijd onderwijs;propedeuse bachelor;14;35;12;25;11;36;7;24;10;21
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;34940;B Docent Dans;voltijd onderwijs;bachelor;3;64;2;62;1;55;3;51;4;48
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;34940;B Docent Dans;voltijd onderwijs;propedeuse bachelor;1;25;0;21;2;25;1;24;2;28
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;deeltijd onderwijs;bachelor;23;50;17;52;18;50;13;45;18;48
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;deeltijd onderwijs;propedeuse bachelor;3;8;3;11;2;3;2;13;4;6
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;duaal onderwijs;bachelor;3;15;3;14;2;7;0;13;0;9
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;voltijd onderwijs;bachelor;17;72;16;75;15;77;14;74;16;63
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;voltijd onderwijs;propedeuse bachelor;12;42;4;29;10;35;9;27;8;35
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39112;B Docent Muziek;deeltijd onderwijs;bachelor;7;8;6;5;3;3;2;2;0;0
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39112;B Docent Muziek;deeltijd onderwijs;propedeuse bachelor;1;0;0;0;0;0;0;0;0;0
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39112;B Docent Muziek;voltijd onderwijs;bachelor;14;16;10;17;13;24;18;27;21;29
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;lerarenopleidingen op het gebied van de kunst;39112;B Docent Muziek;voltijd onderwijs;propedeuse bachelor;8;15;8;19;14;20;10;16;15;12
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35025;B Opleiding tot Leraar van de eerste graad in Lichamelijke Opvoeding;deeltijd onderwijs;bachelor;39;8;19;6;0;0;0;0;0;0
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35025;B Opleiding tot Leraar van de eerste graad in Lichamelijke Opvoeding;voltijd onderwijs;bachelor;327;109;337;110;327;149;363;168;326;166
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35025;B Opleiding tot Leraar van de eerste graad in Lichamelijke Opvoeding;voltijd onderwijs;propedeuse bachelor;204;81;193;97;189;76;132;65;120;56
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;deeltijd onderwijs;bachelor;14;21;15;24;12;31;13;24;9;23
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;deeltijd onderwijs;propedeuse bachelor;14;21;17;21;24;22;21;25;26;30
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;voltijd onderwijs;bachelor;14;47;21;55;23;70;23;69;23;67
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35193;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits;voltijd onderwijs;propedeuse bachelor;14;31;13;37;13;24;10;26;14;22
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;deeltijd onderwijs;bachelor;25;70;31;63;32;74;27;73;28;55
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;deeltijd onderwijs;propedeuse bachelor;24;62;25;56;21;56;38;46;34;50
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;voltijd onderwijs;bachelor;87;121;98;142;102;134;88;120;79;113
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35195;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels;voltijd onderwijs;propedeuse bachelor;99;124;78;97;68;84;62;100;86;123
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35196;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans;deeltijd onderwijs;bachelor;6;10;4;6;3;7;2;8;0;11
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35196;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans;deeltijd onderwijs;propedeuse bachelor;1;6;3;5;4;5;3;11;1;10
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35196;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans;voltijd onderwijs;bachelor;11;37;8;35;6;29;6;21;7;15
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35196;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans;voltijd onderwijs;propedeuse bachelor;3;18;6;24;7;16;6;14;4;16
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;deeltijd onderwijs;bachelor;14;11;17;9;22;9;24;6;20;8
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;deeltijd onderwijs;propedeuse bachelor;22;6;21;10;16;9;19;3;15;7
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;voltijd onderwijs;bachelor;152;61;151;57;152;58;110;48;89;38
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35197;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis;voltijd onderwijs;propedeuse bachelor;121;37;85;36;73;34;96;39;111;58
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;deeltijd onderwijs;bachelor;20;81;21;79;21;93;21;81;16;50
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;deeltijd onderwijs;propedeuse bachelor;44;102;30;111;24;90;28;107;31;115
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;voltijd onderwijs;bachelor;21;84;24;87;22;92;20;87;15;89
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35198;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands;voltijd onderwijs;propedeuse bachelor;15;58;20;73;21;67;11;57;9;28
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35199;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Scheikunde;deeltijd onderwijs;bachelor;16;6;11;7;11;10;10;9;6;6
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35199;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Scheikunde;deeltijd onderwijs;propedeuse bachelor;5;2;4;7;6;3;12;3;13;11
Noord-Brabant;772;EINDHOVEN;reguliere inst.;bachelor;30GB;Fontys Hogescholen;onderwijs;n.v.t. (onderwijs);35199;B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Scheikunde;voltijd onderwijs;bachelor;14;13;16;13;17;7;18;11;24;8
