PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2014 Man;2014 Vrouw;2015 Man;2015 Vrouw;2016 Man;2016 Vrouw;2017 Man;2017 Vrouw;2018 Man;2018 Vrouw
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;propedeuse bachelor;17;8;15;6;30;15;34;21;43;28
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;bachelor;140;102;160;108;158;95;155;86;134;76
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;119;63;95;58;106;54;103;59;120;53
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;bachelor;11;10;8;7;5;5;4;5;3;2
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;propedeuse bachelor;10;3;3;1;1;0;0;0;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;bachelor;278;195;292;169;278;151;261;115;244;99
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;propedeuse bachelor;202;74;174;63;143;43;138;45;153;55
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;bachelor;2;11;1;11;0;9;2;9;2;5
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;propedeuse bachelor;3;6;5;5;3;1;2;0;0;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;bachelor;75;231;61;233;58;207;57;156;51;130
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;propedeuse bachelor;44;139;39;102;40;64;33;80;28;84
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;bachelor;82;44;75;45;83;50;90;43;84;42
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;propedeuse bachelor;54;28;58;27;61;23;50;20;42;23
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;deeltijd onderwijs;bachelor;1;1;0;0;0;0;0;0;1;2
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;deeltijd onderwijs;propedeuse bachelor;0;0;0;0;0;0;0;0;1;2
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;duaal onderwijs;bachelor;3;0;5;4;6;3;8;8;7;9
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;duaal onderwijs;propedeuse bachelor;1;0;0;0;0;0;3;0;12;9
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;voltijd onderwijs;bachelor;663;978;741;1087;731;1133;739;1158;662;1055
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;voltijd onderwijs;propedeuse bachelor;290;451;236;385;249;394;284;433;315;519
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34419;B European Studies;voltijd onderwijs;bachelor;24;56;23;57;34;48;30;53;29;49
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34419;B European Studies;voltijd onderwijs;propedeuse bachelor;51;50;40;41;23;36;23;31;39;31
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34464;B Bestuurskunde/Overheidsmanagement;deeltijd onderwijs;bachelor;14;10;14;8;11;7;5;8;4;4
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34464;B Bestuurskunde/Overheidsmanagement;deeltijd onderwijs;propedeuse bachelor;7;5;1;2;1;1;1;1;1;0
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34464;B Bestuurskunde/Overheidsmanagement;voltijd onderwijs;bachelor;43;22;43;28;44;28;45;29;59;30
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34464;B Bestuurskunde/Overheidsmanagement;voltijd onderwijs;propedeuse bachelor;42;22;41;20;46;14;57;17;61;19
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35516;B Creative Business;voltijd onderwijs;bachelor;321;397;383;462;377;460;325;396;240;329
Friesland;80;LEEUWARDEN;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35516;B Creative Business;voltijd onderwijs;propedeuse bachelor;218;245;145;201;116;169;110;175;142;202
